#time fluid_temperature fluid_vCM 
0.402  37.9122    -0.790921 -0.587559 -1.38486   
0.403  38.8161    -0.744368 -0.499826 -1.4322   
0.404  38.869    -0.735629 -0.435819 -1.48416   
0.405  36.9535    -0.755659 -0.389363 -1.52712   
0.406  35.3712    -0.793092 -0.347976 -1.55072   
0.407  34.4871    -0.841891 -0.310729 -1.55241   
0.408  32.4094    -0.893351 -0.280261 -1.52818   
0.409  32.1793    -0.930257 -0.25317 -1.47073   
0.41  32.474    -0.937306 -0.228021 -1.38343   
0.411  31.8453    -0.908895 -0.205251 -1.27879   
0.412  30.9783    -0.848265 -0.187438 -1.17083   
0.413  29.9039    -0.764811 -0.179252 -1.07131   
0.414  28.6197    -0.669969 -0.184106 -0.988622   
0.415  28.6578    -0.570208 -0.199195 -0.926502   
0.416  28.9026    -0.465593 -0.216036 -0.881389   
0.417  28.8332    -0.355622 -0.231525 -0.852585   
0.418  30.1633    -0.24225 -0.24513 -0.838227   
0.419  27.6133    -0.130868 -0.257997 -0.83717   
0.42  28.24    -0.0274794 -0.273205 -0.849816   
0.421  27.3559    0.0670558 -0.28816 -0.872139   
0.422  26.7446    0.151636 -0.301991 -0.90331   
0.423  25.6783    0.228456 -0.309613 -0.937047   
0.424  26.4315    0.301862 -0.306833 -0.968857   
0.425  27.359    0.373541 -0.29301 -0.995855   
0.426  25.622    0.444 -0.264696 -1.01324   
0.427  25.4423    0.506874 -0.224078 -1.02663   
0.428  25.9244    0.559885 -0.172488 -1.03897   
0.429  26.2676    0.605897 -0.110999 -1.04833   
0.43  25.8812    0.644998 -0.0427695 -1.05733   
0.431  25.4368    0.675493 0.0263655 -1.07061   
0.432  26.0493    0.698993 0.0917414 -1.09168   
0.433  25.3788    0.72119 0.151547 -1.12295   
0.434  28.0021    0.741525 0.204185 -1.16711   
0.435  28.3588    0.759391 0.251092 -1.2197   
0.436  27.2422    0.77916 0.292911 -1.27767   
0.437  26.9973    0.803906 0.331632 -1.33795   
0.438  27.0411    0.836075 0.37022 -1.38932   
0.439  28.6953    0.877558 0.41195 -1.42247   
0.44  28.0519    0.925633 0.458692 -1.43493   
0.441  29.5694    0.973878 0.509494 -1.42922   
0.442  30.2955    1.01548 0.561589 -1.40679   
0.443  29.9621    1.0494 0.612413 -1.36637   
0.444  30.6817    1.07462 0.657464 -1.30795   
0.445  29.7222    1.08557 0.692555 -1.23629   
0.446  28.0278    1.0793 0.715546 -1.15796   
0.447  26.7133    1.05527 0.730192 -1.07162   
0.448  28.1535    1.0136 0.743089 -0.975327   
0.449  27.0308    0.959254 0.758048 -0.86952   
0.45  26.5334    0.901557 0.77793 -0.751451   
0.451  25.7763    0.848249 0.803506 -0.619864   
0.452  24.2955    0.800109 0.831778 -0.479595   
0.453  24.0716    0.757928 0.857865 -0.338694   
0.454  23.0843    0.721971 0.877192 -0.207539   
0.455  22.0212    0.692016 0.889068 -0.0958491   
0.456  21.0705    0.66652 0.896145 -0.0119878   
0.457  21.5738    0.641733 0.895767 0.0359266   
0.458  21.1867    0.618442 0.888719 0.0553926   
0.459  20.7149    0.596693 0.881143 0.0581866   
0.46  21.034    0.576802 0.874221 0.0477775   
0.461  20.5109    0.556727 0.86837 0.0287334   
0.462  21.3403    0.530816 0.866258 0.00385753   
0.463  20.7835    0.495341 0.871667 -0.0235619   
0.464  21.0059    0.453778 0.887134 -0.0496884   
0.465  19.9303    0.411891 0.913965 -0.071409   
0.466  19.4503    0.374668 0.958353 -0.0775479   
0.467  20.7151    0.346085 1.02415 -0.0574813   
0.468  20.0835    0.326148 1.10862 -0.0145287   
0.469  20.6962    0.315724 1.20877 0.046144   
0.47  19.3564    0.318603 1.32501 0.129568   
0.471  18.3599    0.338038 1.44942 0.232297   
0.472  18.0589    0.374788 1.57044 0.336202   
0.473  18.3883    0.429317 1.68297 0.420975   
0.474  17.3328    0.499552 1.78629 0.472076   
0.475  16.6983    0.581733 1.88091 0.485524   
0.476  17.8054    0.672879 1.96387 0.46239   
0.477  17.007    0.771301 2.03599 0.409198   
0.478  17.1186    0.876005 2.10255 0.343476   
0.479  17.2912    0.983596 2.16784 0.28393   
0.48  16.7464    1.09012 2.23359 0.23845   
0.481  17.7132    1.19216 2.29914 0.209906   
0.482  17.8368    1.28712 2.36336 0.197134   
0.483  18.473    1.37161 2.42816 0.200185   
0.484  17.3167    1.44437 2.49679 0.220491   
0.485  15.4414    1.50694 2.57037 0.255963   
0.486  14.1573    1.56171 2.64891 0.308231   
0.487  13.5187    1.61145 2.73176 0.38099   
0.488  13.0993    1.66067 2.817 0.473567   
0.489  13.5663    1.71378 2.90051 0.577361   
0.49  13.5554    1.77189 2.97797 0.681963   
0.491  12.7028    1.83587 3.04526 0.781629   
0.492  12.8927    1.90591 3.09934 0.87425   
0.493  13.5401    1.98039 3.13947 0.954332   
0.494  13.7973    2.05744 3.16695 1.02003   
0.495  14.2246    2.13301 3.18272 1.07218   
0.496  12.5626    2.20268 3.18525 1.10767   
0.497  12.9882    2.26443 3.17539 1.12746   
0.498  13.1365    2.31578 3.15584 1.13789   
